aberaeron,52.25,-4.266666666666667
aberdeen,57.1464,-2.0934
aberdour-harbour,56.05,-3.283333333333333
aberdyfi,52.535,-4.035
aberystwyth,52.4,-4.083333333333333
anstruther,56.21666666666667,-2.7
arbroath,56.55,-2.5833333333333335
ardglass,54.266666666666666,-5.6
ardrishaig,56.013,-5.4425
ardrossan,55.63333333333333,-4.8
ayr,55.46666666666667,-4.65
baltic-wharf,51.61666666666667,0.75
barrow-in-furness,52.25,-4.266666666666667
barry,51.38333333333333,-3.2666666666666666
belfast,54.6,-5.933333333333334
berwick-upon-tweed,55.766666666666666,-1.9833333333333334
bideford,51.016666666666666,-4.203333333333333
birkenhead,53.4,-3.0033333333333334
blyth,55.11666666666667,-1.4833333333333334
boston,52.96666666666667,-0.03333333333333333
braefoot-bay,56.03333333333333,-3.3083333333333336
braye-alderney,49.7305,-2.1903333333333332
bridgwater,51.166666666666664,-3.0
bridlington,54.0795,-0.18533333333333332
brightlingsea,51.8,1.0333333333333334
bristol-city-docks,51.44833333333333,-1.6216666666666666
bristol,51.45,-2.6333333333333333
brixham,50.4,-3.5166666666666666
bromborough,53.355,-2.9716666666666667
buckie-cluny-harbour,57.68333333333333,-2.95
bude,50.81666666666667,-4.533333333333333
burghead,57.7,-3.4833333333333334
burntisland,56.05,-3.2333333333333334
caernarfon,53.15,-4.266666666666667
cairnryan,54.961666666666666,-5.013333333333334
campbeltown,55.42333333333333,-5.591666666666667
cardiff,51.45,-2.15
carradale,55.59166666666667,-5.466666666666667
carrickfergus,50.71666666666667,-5.8
cellardyke,56.233333333333334,-2.65
chatham,51.4,0.55
cockenzie-harbour,55.983333333333334,-2.95
coleraine,55.13333333333333,-6.666666666666667
convoys,51.4,0.55
conwy,53.3,-3.8333333333333335
cowes,50.766666666666666,-1.2833333333333332
crail,56.25,-2.6166666666666667
cromarty-firth,52.25,-4.266666666666667
dartmouth,50.35,-3.575
douglas,54.15,-4.466666666666667
dover,51.11666666666667,1.3333333333333333
dunbar,56.0,-2.5166666666666666
dundee,56.46666666666667,-2.966666666666667
dunoon-pier,55.946666666666665,-4.92
falmouth-docks,50.15,-5.066666666666666
falmouth-harbour,50.15,-5.05
felixstowe,51.95,1.3166666666666667
fleetwood,53.93333333333333,-3.0
flixborough,53.61666666666667,0.7
flotta,58.84166666666667,-3.1166666666666667
folkestone,51.072,1.1913333333333334
fowey-docks-2,50.31666666666667,-4.633333333333333
fraserburgh,57.7,-2.0
gairloch,57.71,-5.6883333333333335
garston,50.35,-2.9
gigha,55.665,-5.741666666666667
girvan,55.245,-4.861666666666666
glasgow,55.86666666666667,-4.283333333333333
glensanda,56.56666666666667,-5.533333333333333
goole,53.7,-0.8333333333333334
gourock,55.95,-4.8
grangemouth,56.035333333333334,-3.684
granton,55.983333333333334,-3.216666666666667
great-yarmouth,52.6,1.7333333333333334
greenock,55.95,-4.733333333333333
grimsby,53.583333333333336,-0.06666666666666667
groveport,53.6,-42.916666666666664
hamble,50.84166666666667,-1.3116666666666665
hartlepool,54.68333333333333,-1.2
harwich-haven,51.946333333333335,1.2913333333333332
harwich-international-port-ltd,51.95,1.2833333333333332
harwich-navyard,51.95,1.2833333333333332
hatston,58.99916666666667,-2.9716666666666667
hayle,50.18333333333333,-5.433333333333334
heysham,54.03333333333333,-2.9333333333333336
holyhead,53.31666666666667,-4.633333333333333
hound-point-terminal,56.0035,-3.3568333333333333
howden,53.71666666666667,-4.866666666666667
immingham,53.96666666666667,-0.18333333333333332
inchgreen,55.93333333333333,-4.716666666666667
invergordon,57.68333333333333,-4.166666666666667
